sessions_id,user_id,traffic_medium,date,traffic_source,traffic_name
14,14,Direct,12/01/19,Direct,
20,20,Direct,12/01/19,Direct,
70,63,Direct,12/04/19,Direct,
71,64,Direct,12/04/19,Direct,
72,65,Direct,12/04/19,Direct,
74,67,Direct,12/04/19,Direct,
80,73,Direct,12/05/19,Direct,
82,74,Direct,12/05/19,Direct,
111,63,Direct,12/06/19,Direct,
112,95,Direct,12/06/19,Direct,
134,107,Direct,12/07/19,Direct,
182,66,Direct,12/09/19,Direct,
194,78,Direct,12/10/19,Direct,
198,139,Direct,12/10/19,Direct,
214,145,Direct,12/11/19,Direct,
216,111,Direct,12/11/19,Direct,
251,28,Direct,12/13/19,Direct,
265,163,Direct,12/14/19,Direct,
272,168,Direct,12/14/19,Direct,
276,170,Direct,12/14/19,Direct,
292,175,Direct,12/15/19,Direct,
300,174,Direct,12/15/19,Direct,
307,146,Direct,12/15/19,Direct,
311,85,Direct,12/15/19,Direct,
313,175,Direct,12/15/19,Direct,
319,87,Direct,12/16/19,Direct,
329,32,Direct,12/16/19,Direct,
334,6,Direct,12/16/19,Direct,
337,96,Direct,12/17/19,Direct,
346,186,Direct,12/17/19,Direct,
363,56,Direct,12/18/19,Direct,
378,133,Direct,12/19/19,Direct,
381,164,Direct,12/19/19,Direct,
407,120,Direct,12/21/19,Direct,
416,175,Direct,12/21/19,Direct,
444,182,Direct,12/22/19,Direct,
453,2,Direct,12/22/19,Direct,
458,143,Direct,12/22/19,Direct,
460,94,Direct,12/22/19,Direct,
467,26,Direct,12/22/19,Direct,
486,72,Direct,12/23/19,Direct,
493,169,Direct,12/24/19,Direct,
504,167,Direct,12/24/19,Direct,
532,5,Direct,12/25/19,Direct,
535,37,Direct,12/26/19,Direct,
545,111,Direct,12/27/19,Direct,
550,26,Direct,12/27/19,Direct,
553,21,Direct,12/27/19,Direct,
555,216,Direct,12/27/19,Direct,
562,204,Direct,12/28/19,Direct,
566,155,Direct,12/28/19,Direct,
575,6,Direct,12/28/19,Direct,
579,166,Direct,12/29/19,Direct,
591,201,Direct,12/29/19,Direct,
592,49,Direct,12/29/19,Direct,
593,97,Direct,12/29/19,Direct,
594,219,Direct,12/29/19,Direct,
606,194,Direct,12/29/19,Direct,
607,120,Direct,12/29/19,Direct,
621,218,Direct,12/30/19,Direct,
639,97,Direct,01/01/20,Direct,
647,227,Direct,01/01/20,Direct,
674,247,Direct,01/02/20,Direct,
677,134,Direct,01/02/20,Direct,
