transactions_id,sessions_id,payment_method_id,total_amount,transactions_timestamps,status,voucher_id
6261,61939,1,935000,2021-05-05 04:16:02 UTC,canceled,1
11484,115377,1,60000,2022-01-02 08:33:16 UTC,canceled,1
17261,166707,1,3205000,2022-10-20 13:55:19 UTC,canceled,1
10978,110160,1,2850000,2021-12-18 11:23:49 UTC,canceled,1
12166,122462,1,55000,2022-02-04 06:24:09 UTC,canceled,1
16411,157837,2,1200000,2022-09-09 00:12:55 UTC,canceled,1
6881,67414,2,720000,2021-06-12 10:44:43 UTC,canceled,1
2048,18904,2,4175000,2020-09-06 23:38:09 UTC,canceled,1
2460,22888,2,1995000,2020-10-09 05:43:45 UTC,canceled,1
7002,68470,3,3975000,2021-06-18 19:08:58 UTC,canceled,1
5851,58337,3,1350000,2021-04-11 07:58:17 UTC,canceled,1
1112,11576,3,1135000,2020-06-21 05:54:46 UTC,canceled,1
992,10580,3,460000,2020-06-09 20:36:18 UTC,canceled,1
18387,180953,4,1970000,2022-11-30 19:28:31 UTC,canceled,1
12969,130911,4,1820000,2022-03-11 19:40:09 UTC,canceled,1
144,1929,4,2925000,2020-02-05 06:10:49 UTC,canceled,1
16725,159985,4,1100000,2022-09-28 08:36:13 UTC,canceled,1
4650,48230,4,3115000,2021-02-13 10:36:35 UTC,canceled,1
18990,188636,5,1350000,2022-12-24 15:18:41 UTC,canceled,1
17517,170217,5,2340000,2022-10-30 14:47:17 UTC,canceled,1
17404,168614,6,2175000,2022-10-26 03:54:35 UTC,canceled,1
6805,66753,6,775000,2021-06-06 17:49:29 UTC,canceled,1
3400,35676,6,710000,2020-12-08 10:38:38 UTC,canceled,1
11961,120343,6,1200000,2022-01-24 17:31:40 UTC,canceled,1
17488,169837,6,2340000,2022-10-29 23:29:05 UTC,canceled,1
2167,19909,6,1635000,2020-09-17 13:31:22 UTC,canceled,1
14786,145942,6,695000,2022-06-04 18:00:00 UTC,canceled,1
5586,56102,2,2270000,2021-03-28 05:27:04 UTC,canceled,1
9217,91086,2,190000,2021-10-24 18:56:54 UTC,canceled,1
15887,154109,2,1000000,2022-08-05 11:46:51 UTC,canceled,1
6488,63913,2,1020000,2021-05-19 00:55:40 UTC,canceled,1
12072,121478,2,305000,2022-01-30 06:56:35 UTC,canceled,1
17534,170451,2,450000,2022-10-31 05:24:52 UTC,canceled,1
9324,92237,2,300000,2021-10-28 20:25:07 UTC,canceled,1
3891,41952,3,2730000,2021-01-06 19:26:30 UTC,canceled,1
12899,130220,3,1660000,2022-03-07 10:44:14 UTC,canceled,1
6562,64627,3,3280000,2021-05-23 18:31:21 UTC,canceled,1
3115,31936,3,1850000,2020-11-21 21:04:53 UTC,canceled,1
62,844,4,2400000,2020-01-07 04:51:12 UTC,canceled,1
2353,21459,4,735000,2020-10-01 16:52:56 UTC,canceled,1
5572,56048,4,1300000,2021-03-27 23:02:26 UTC,canceled,1
913,9771,4,350000,2020-05-31 18:48:51 UTC,canceled,1
16334,157308,4,455000,2022-09-04 05:02:09 UTC,canceled,1
16555,158828,4,2000000,2022-09-18 04:45:44 UTC,canceled,1
17244,166555,4,1465000,2022-10-19 22:11:16 UTC,canceled,1
18673,184855,4,385000,2022-12-12 05:27:14 UTC,canceled,1
9046,89351,5,1400000,2021-10-19 20:51:23 UTC,canceled,1
8912,87859,6,2250000,2021-10-16 05:04:34 UTC,canceled,1
12633,127390,6,380000,2022-02-23 23:58:55 UTC,canceled,1
6473,63800,6,60000,2021-05-18 03:30:53 UTC,canceled,1
11815,118949,6,1700000,2022-01-18 06:22:04 UTC,canceled,1
8638,84844,6,1230000,2021-10-06 11:53:07 UTC,canceled,1
14328,142484,6,600000,2022-05-13 04:54:24 UTC,canceled,1
17448,169292,6,4130000,2022-10-28 17:46:45 UTC,canceled,1
15049,147818,6,3330000,2022-06-15 13:20:30 UTC,canceled,1
12678,127868,6,1570000,2022-02-26 10:07:21 UTC,canceled,1
6097,60642,6,375000,2021-04-25 16:28:04 UTC,canceled,1
12268,123646,6,300000,2022-02-08 12:43:55 UTC,canceled,1
18341,180509,1,355000,2022-11-28 19:16:13 UTC,canceled,1
4052,43376,2,1930000,2021-01-16 08:38:08 UTC,canceled,1
13576,136799,2,1000000,2022-04-08 20:19:13 UTC,canceled,1
16347,157413,2,3015000,2022-09-04 14:07:26 UTC,canceled,1
3432,36145,2,110000,2020-12-11 07:00:06 UTC,canceled,1
4738,49051,2,600000,2021-02-17 07:22:57 UTC,canceled,1
2631,25395,2,2530000,2020-10-21 10:03:33 UTC,canceled,1
7530,73551,3,1055000,2021-07-24 09:00:12 UTC,canceled,1
